file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
43;99;FRE;Z;20171117_021925.252 ;FREZ17-11-2017_02:19:17.209;MJo;2021-08-03 17:13:03.097 ;4Testing;2017-11-17T02:19:25.252Z;2017-11-17T02:19:25.022Z;0;0;0;-10.0861;nn;0025-07-2T 00:00:00Z; ;TR;4.9434;2017-11-17 02:19:41 ;1.623
44;99;SHG;Z;20171117_021925.252 ;SHGZ17-11-2017_02:19:16.051;MJo;2021-08-03 17:13:03.099 ;4Testing;2017-11-17T02:19:25.503Z;2017-11-17T02:19:34.124Z;0;0;0;-10.098;nn;0025-07-2T 00:00:00Z; ;TR;2.9261;2017-11-17 02:19:45 ;1.296
45;99;SHG;Z;20171117_021925.252 ;SHGZ17-11-2017_02:18:47.134;MJo;2021-08-03 17:13:03.099 ;4Testing;2017-11-17T02:19:25.507Z;2017-11-17T02:19:34.178Z;0;0;0;-1.6326;nn;0025-07-2T 00:00:00Z; ;TR;2.9261;2017-11-17 02:19:01 ;1.5556
46;99;FRE;Z;20171117_024032.012 ;FREZ17-11-2017_02:40:28.187;MJo;2021-08-03 17:13:03.100 ;4Testing;2017-11-17T02:40:32.012Z;2017-11-17T02:40:32.732Z;0;0;0;29.6034;nn;0025-07-2T 00:00:00Z; ;LP;6.7268;2017-11-17 02:40:44 ;1.4426
47;99;SHG;Z;20171117_024032.012 ;SHGZ17-11-2017_02:40:29.109;MJo;2021-08-03 17:13:03.101 ;4Testing;2017-11-17T02:40:32.782Z;2017-11-17T02:40:33.772Z;0;0;0;18.5333;nn;0025-07-2T 00:00:00Z; ;LP;4.244;2017-11-17 02:40:44 ;1.401
48;99;FRE;Z;20171117_045700.982 ;FREZ17-11-2017_04:56:57.230;MJo;2021-08-03 17:13:03.102 ;4Testing;2017-11-17T04:57:00.982Z;2017-11-17T04:57:01.442Z;0;0;0;29.7366;nn;0025-07-2T 00:00:00Z; ;LP;6.5641;2017-11-17 04:57:15 ;2.3934
49;99;SHG;Z;20171117_045700.982 ;SHGZ17-11-2017_04:56:57.310;MJo;2021-08-03 17:13:03.103 ;4Testing;2017-11-17T04:57:01.182Z;2017-11-17T04:57:02.862Z;0;0;0;24.8967;nn;0025-07-2T 00:00:00Z; ;LP;6.9089;2017-11-17 04:57:14 ;6.7031
50;99;SHG;Z;20171117_053504.152 ;SHGZ17-11-2017_05:35:02.728;MJo;2021-08-03 17:13:03.105 ;4Testing;2017-11-17T05:35:04.152Z;2017-11-17T05:35:06.272Z;0;0;0;16.096;nn;0025-07-2T 00:00:00Z; ;OT;2.1873;2017-11-17 05:35:11 ;1.2465
51;99;FRE;Z;20171117_053504.152 ;FREZ17-11-2017_05:35:01.879;MJo;2021-08-03 17:13:03.106 ;4Testing;2017-11-17T05:35:05.182Z;2017-11-17T05:35:06.932Z;0;0;0;16.5064;nn;0025-07-2T 00:00:00Z; ;LP;3.3794;2017-11-17 05:35:16 ;1.5574
52;99;SHG;Z;20171117_061222.172 ;SHGZ17-11-2017_06:12:19.008;MJo;2021-08-03 17:13:03.108 ;4Testing;2017-11-17T06:12:22.172Z;2017-11-17T06:12:23.192Z;0;0;0;-10.3493;nn;0025-07-2T 00:00:00Z; ;LP;2.944;2017-11-17 06:12:29 ;2.2513
